Archetype,House number,CAH Type,Operation,Solar,Grid Cost,Optimal PV,Optimal Battery,Total Cost,Total Load,Grid Import
Detached,DetachedA_24.txt,H2,safe_unidirectional,worst,385.852,5.25,19.125,20205.0,3939.88,1860.9
Detached,DetachedD_18.txt,H2,safe_unidirectional,best,416.962,3.15,13.5,13095.0,4288.18,1979.4
Detached,DetachedA_41.txt,H1,safe_unidirectional,worst,434.781,7.63,28.125,29523.0,5511.83,2498.71
Detached,DetachedA_23.txt,H2,hybrid_bidirectional,best,214.159,3.5,1.575,8106.0,4203.83,1996.07
Detached,DetachedD_31.txt,H1,hybrid_bidirectional,best,227.726,4.76,15.975,17664.0,5655.47,2246.06
Detached,DetachedD_39.txt,H1,hybrid_bidirectional,worst,298.413,7.98,25.65,29070.0,5763.44,2631.53
Detached,DetachedD_18.txt,H2,hybrid_bidirectional,worst,232.663,6.3,9.225,17658.0,4430.6,2123.7
Detached,DetachedD_17.txt,H1,safe_unidirectional,worst,452.333,7.56,28.35,29484.0,5638.92,2561.44
Detached,DetachedA_52.txt,H2,safe_unidirectional,worst,405.942,5.11,20.475,20559.0,4086.81,1945.8
Detached,DetachedA_41.txt,H1,safe_unidirectional,best,382.789,4.2,21.6,19188.0,5511.83,2341.87
Detached,DetachedA_24.txt,H2,safe_unidirectional,best,349.507,3.29,11.7,12525.0,3939.88,1780.34
Detached,DetachedD_18.txt,H2,hybrid_bidirectional,best,216.277,3.78,2.025,8910.0,4470.44,2129.75
Detached,DetachedD_39.txt,H1,hybrid_bidirectional,best,241.592,4.83,17.325,18459.0,5742.64,2313.48
Detached,DetachedA_22.txt,H1,safe_unidirectional,worst,433.007,7.49,27.45,28905.0,5493.21,2469.56
Detached,DetachedD_31.txt,H2,safe_unidirectional,worst,412.73,5.11,19.575,20127.0,4090.14,1965.74
Detached,DetachedD_17.txt,H1,safe_unidirectional,best,407.027,4.13,21.825,19149.0,5638.92,2433.18
Detached,DetachedA_24.txt,H2,hybrid_bidirectional,worst,205.214,5.81,7.425,15765.0,4061.87,1942.29
Detached,DetachedA_41.txt,H1,hybrid_bidirectional,worst,277.967,7.56,26.325,28512.0,5595.79,2551.78
Detached,DetachedA_52.txt,H2,safe_unidirectional,best,366.707,3.22,11.475,12270.0,4086.81,1865.08
Detached,DetachedA_22.txt,H1,safe_unidirectional,best,375.473,4.13,21.825,19149.0,5493.21,2300.46
Detached,DetachedA_24.txt,H2,hybrid_bidirectional,best,185.498,3.43,2.025,8175.0,4096.24,1917.92
Detached,DetachedD_24.txt,H1,safe_unidirectional,worst,419.157,7.7,27.225,29238.0,5526.35,2448.12
Detached,DetachedA_41.txt,H1,hybrid_bidirectional,best,218.367,4.83,16.875,18243.0,5575.18,2222.02
Detached,DetachedA_52.txt,H2,hybrid_bidirectional,worst,223.268,5.67,8.325,15903.0,4216.32,2038.61
Detached,DetachedD_17.txt,H1,hybrid_bidirectional,worst,293.989,7.77,25.65,28629.0,5719.34,2601.55
Detached,DetachedD_39.txt,H2,safe_unidirectional,worst,428.484,5.67,20.7,21843.0,4173.11,2010.12
Detached,DetachedD_31.txt,H2,safe_unidirectional,best,368.197,3.22,11.025,12054.0,4090.14,1856.75
Detached,DetachedA_22.txt,H1,hybrid_bidirectional,worst,279.89,7.56,25.65,28188.0,5570.69,2511.67
Detached,DetachedA_52.txt,H2,hybrid_bidirectional,best,207.931,3.43,1.8,8067.0,4260.03,2097.33
Detached,DetachedD_17.txt,H1,hybrid_bidirectional,best,244.512,4.62,17.775,18234.0,5699.81,2323.31
Detached,DetachedD_31.txt,H2,hybrid_bidirectional,worst,213.316,5.81,8.1,16089.0,4224.79,1997.43
Detached,DetachedD_24.txt,H1,safe_unidirectional,best,363.271,4.13,21.15,18825.0,5526.35,2288.28
Detached,DetachedD_14.txt,H1,safe_unidirectional,worst,451.313,7.84,28.35,30072.0,5518.57,2503.73
Detached,DetachedD_39.txt,H2,safe_unidirectional,best,389.644,3.29,12.6,12957.0,4173.11,1904.03
Detached,DetachedA_41.txt,H2,safe_unidirectional,worst,405.534,5.32,20.025,20784.0,4006.92,1927.56
Detached,DetachedA_22.txt,H1,hybrid_bidirectional,best,224.623,4.83,16.65,18135.0,5548.11,2172.89
Detached,DetachedD_31.txt,H2,hybrid_bidirectional,best,199.021,3.43,1.8,8067.0,4262.1,2016.95
Detached,DetachedD_24.txt,H1,hybrid_bidirectional,worst,286.203,7.63,25.65,28335.0,5602.32,2506.65
Detached,DetachedA_53.txt,H1,safe_unidirectional,worst,424.717,7.84,27.9,29856.0,5420.99,2440.89
Detached,DetachedD_39.txt,H2,hybrid_bidirectional,worst,219.327,6.3,8.325,17226.0,4315.88,2079.29
Detached,DetachedD_17.txt,H2,safe_unidirectional,worst,418.392,5.32,20.25,20892.0,4134.01,1991.32
Detached,DetachedD_14.txt,H1,safe_unidirectional,best,387.994,4.2,21.825,19296.0,5518.57,2350.24
Detached,DetachedA_41.txt,H2,safe_unidirectional,best,365.393,3.36,11.475,12564.0,4006.92,1823.2
Detached,DetachedD_24.txt,H1,hybrid_bidirectional,best,222.199,4.76,16.425,17880.0,5579.63,2168.94
Detached,DetachedD_39.txt,H2,hybrid_bidirectional,best,206.243,3.64,2.025,8616.0,4352.4,2067.93
Detached,DetachedA_22.txt,H2,safe_unidirectional,worst,403.592,5.32,19.8,20676.0,3988.3,1896.12
Detached,DetachedD_25.txt,H1,safe_unidirectional,worst,432.97,8.12,27.675,30336.0,5489.78,2466.81
Detached,DetachedA_53.txt,H1,safe_unidirectional,best,377.329,4.13,21.375,18933.0,5420.99,2299.74
Detached,DetachedD_14.txt,H1,hybrid_bidirectional,worst,298.651,7.91,26.55,29355.0,5602.81,2555.85
Detached,DetachedA_41.txt,H2,hybrid_bidirectional,worst,216.891,5.74,8.775,16266.0,4130.84,2004.59
Detached,DetachedD_17.txt,H2,safe_unidirectional,best,386.939,3.22,11.7,12378.0,4134.01,1901.53
Detached,DetachedD_14.txt,H1,hybrid_bidirectional,best,229.842,4.9,16.875,18390.0,5583.33,2214.99
Detached,DetachedA_41.txt,H2,hybrid_bidirectional,best,199.835,3.5,2.025,8322.0,4168.32,2006.69
Detached,DetachedA_53.txt,H1,hybrid_bidirectional,worst,280.409,7.77,26.1,28845.0,5502.94,2507.72
Detached,DetachedA_22.txt,H2,safe_unidirectional,best,367.068,3.08,12.375,12408.0,3988.3,1837.22
Detached,DetachedD_25.txt,H1,safe_unidirectional,best,381.3,4.2,22.05,19404.0,5489.78,2328.0
Detached,DetachedD_11.txt,H1,safe_unidirectional,worst,448.466,7.7,27.45,29346.0,5673.25,2535.16
Detached,DetachedD_24.txt,H2,safe_unidirectional,worst,397.273,5.39,20.025,20931.0,4021.44,1921.63
Detached,DetachedD_17.txt,H2,hybrid_bidirectional,worst,214.115,5.81,8.55,16305.0,4263.02,2051.58
Detached,DetachedA_53.txt,H1,hybrid_bidirectional,best,227.557,4.62,17.325,18018.0,5480.46,2187.49
Detached,DetachedA_22.txt,H2,hybrid_bidirectional,worst,212.225,5.81,8.1,16089.0,4097.83,1972.82
Detached,DetachedD_17.txt,H2,hybrid_bidirectional,best,206.517,3.57,1.8,8361.0,4304.67,2094.01
Detached,DetachedD_25.txt,H1,hybrid_bidirectional,worst,283.808,7.98,26.1,29286.0,5576.58,2537.51
Detached,DetachedD_11.txt,H1,safe_unidirectional,best,401.344,4.06,22.275,19218.0,5673.25,2451.73
Detached,DetachedA_55.txt,H1,safe_unidirectional,worst,434.172,7.42,27.9,28974.0,5592.18,2508.87
Detached,DetachedD_14.txt,H2,safe_unidirectional,worst,422.067,5.46,20.925,21510.0,4013.65,1948.04
Detached,DetachedD_24.txt,H2,safe_unidirectional,best,362.277,3.01,12.15,12153.0,4021.44,1842.98
Detached,DetachedA_22.txt,H2,hybrid_bidirectional,best,202.186,3.5,1.8,8214.0,4131.98,2033.6
Detached,DetachedD_25.txt,H1,hybrid_bidirectional,best,223.518,4.83,17.55,18567.0,5555.82,2222.38
Detached,DetachedD_24.txt,H2,hybrid_bidirectional,worst,212.205,5.88,9.0,16668.0,4153.22,2015.37
Detached,DetachedD_11.txt,H1,hybrid_bidirectional,worst,298.43,7.63,25.875,28443.0,5760.85,2582.83
Detached,DetachedA_53.txt,H2,safe_unidirectional,worst,401.747,5.39,20.7,21255.0,3916.08,1900.75
Detached,DetachedD_26.txt,H1,safe_unidirectional,worst,450.412,7.77,28.125,29817.0,5640.75,2534.09
Detached,DetachedA_55.txt,H1,safe_unidirectional,best,380.074,4.06,21.6,18894.0,5592.18,2346.33
Detached,DetachedD_14.txt,H2,safe_unidirectional,best,370.912,3.15,12.825,12771.0,4013.65,1821.27
Detached,DetachedD_24.txt,H2,hybrid_bidirectional,best,196.671,3.43,2.025,8175.0,4189.89,2016.15
Detached,DetachedA_36.txt,H1,safe_unidirectional,worst,465.0,7.91,28.35,30219.0,5743.83,2587.07
Detached,DetachedD_11.txt,H1,hybrid_bidirectional,best,231.101,5.11,15.975,18399.0,5741.39,2253.59
Detached,DetachedD_25.txt,H2,safe_unidirectional,worst,402.87,5.6,20.925,21804.0,3984.86,1921.79
Detached,DetachedD_14.txt,H2,hybrid_bidirectional,worst,227.803,6.23,8.55,17187.0,4135.58,1995.48
Detached,DetachedD_26.txt,H1,safe_unidirectional,best,395.752,4.2,22.275,19512.0,5640.75,2391.75
Detached,DetachedA_55.txt,H1,hybrid_bidirectional,worst,296.099,7.49,25.425,27933.0,5669.73,2548.54
Detached,DetachedA_53.txt,H2,safe_unidirectional,best,358.161,3.22,11.7,12378.0,3916.08,1797.52
Detached,DetachedA_36.txt,H1,safe_unidirectional,best,418.106,4.2,22.275,19512.0,5743.83,2475.65
Detached,DetachedD_14.txt,H2,hybrid_bidirectional,best,209.538,3.71,1.35,8439.0,4183.8,2020.96
Detached,DetachedD_30.txt,H1,safe_unidirectional,worst,453.649,7.56,28.35,29484.0,5612.2,2519.12
