Archetype,CAH Type,Operation,Solar,CAPEX,OPEX Savings
Detached,H2,safe_unidirectional,worst,21804.0,1239.1997999999999
Detached,H2,hybrid_bidirectional,worst,17187.0,1414.2667999999999
Detached,H1,safe_unidirectional,best,19512.0,2006.2378000000003
Detached,H1,hybrid_bidirectional,worst,27933.0,2105.8908
Detached,H2,safe_unidirectional,best,12378.0,1283.9088
Detached,H1,safe_unidirectional,best,19512.0,1983.8838000000003
Detached,H2,hybrid_bidirectional,best,8439.0,1432.5318
Detached,H1,safe_unidirectional,worst,29484.0,1948.3408000000004
Detached,H1,hybrid_bidirectional,best,17742.0,2169.4118000000003
Detached,H2,hybrid_bidirectional,worst,16638.0,1434.2518
Detached,H1,hybrid_bidirectional,worst,28551.0,2109.3458
Detached,H2,safe_unidirectional,worst,21039.0,1216.5678
Detached,H2,safe_unidirectional,best,13026.0,1277.0518
Detached,H1,hybrid_bidirectional,worst,29502.0,2089.8358000000003
Detached,H2,hybrid_bidirectional,best,8106.0,1450.8368
Detached,H1,hybrid_bidirectional,best,18312.0,2165.3848000000003
Detached,H2,hybrid_bidirectional,worst,17373.0,1426.3268
Detached,H1,safe_unidirectional,best,19041.0,2001.7538000000004
Detached,H1,safe_unidirectional,worst,29640.0,1966.5878000000002
Detached,H2,safe_unidirectional,best,12663.0,1248.3568
Detached,H2,safe_unidirectional,worst,20529.0,1233.7388
Detached,H1,hybrid_bidirectional,best,18675.0,2144.2438
Detached,H2,hybrid_bidirectional,best,8547.0,1441.4508
Detached,H1,hybrid_bidirectional,worst,28581.0,2113.4458000000004
Detached,H1,safe_unidirectional,worst,30141.0,1945.0558000000003
Detached,H2,hybrid_bidirectional,worst,16629.0,1410.8188
Detached,H1,safe_unidirectional,best,19002.0,2013.8338000000003
Detached,H2,safe_unidirectional,worst,21186.0,1218.0088
Detached,H2,safe_unidirectional,best,12015.0,1273.5108
Detached,H1,hybrid_bidirectional,best,18174.0,2178.6918000000005
Detached,H2,hybrid_bidirectional,best,8469.0,1431.8038
Detached,H2,safe_unidirectional,worst,21549.0,1206.5208
Detached,H1,safe_unidirectional,worst,29484.0,1953.8308000000002
Detached,H1,safe_unidirectional,best,19473.0,1999.7068000000004
Detached,H1,hybrid_bidirectional,worst,28806.0,2118.9148000000005
Detached,H2,hybrid_bidirectional,worst,16011.0,1423.6718
Detached,H2,safe_unidirectional,best,13035.0,1264.8168
Detached,H1,hybrid_bidirectional,best,18126.0,2177.4468
Detached,H2,hybrid_bidirectional,best,7959.0,1440.0758
Detached,H2,safe_unidirectional,best,12918.0,1239.9318
Detached,H1,hybrid_bidirectional,worst,29022.0,2109.4208000000003
Detached,H1,safe_unidirectional,worst,29994.0,1959.2468000000003
Detached,H1,safe_unidirectional,best,19050.0,2020.6398000000004
Detached,H2,safe_unidirectional,worst,20931.0,1218.1748
Detached,H2,hybrid_bidirectional,worst,16923.0,1418.0038
Detached,H2,hybrid_bidirectional,worst,17178.0,1405.3917999999999
Detached,H1,hybrid_bidirectional,best,18399.0,2179.8458
Detached,H2,hybrid_bidirectional,best,8616.0,1435.8108
Detached,H1,hybrid_bidirectional,worst,28776.0,2116.9668
Detached,H1,safe_unidirectional,best,19335.0,2008.3818000000003
Detached,H2,safe_unidirectional,best,12417.0,1255.4168
Detached,H2,safe_unidirectional,worst,21186.0,1237.3528000000001
Detached,H1,safe_unidirectional,worst,31278.0,1925.6808000000003
